city,location,amenities
Lahore,Wapda Town,"mosque nearby, community center, 24/7 security, gated community, swimming pool (society level), children's play area"
Lahore,DHA Defence,"park & green belt, 24/7 security, swimming pool (society level), mosque nearby"
Karachi,Jamshed Town,"swimming pool (society level), gated community, commercial market nearby, 24/7 security"
Lahore,Garden Town,"swimming pool (society level), gym & fitness club, wide carpeted streets, backup generator in common areas, underground electricity, children's play area"
Karachi,Malir,"backup generator in common areas, gated community, swimming pool (society level), wide carpeted streets"
Karachi,North Nazimabad,"backup generator in common areas, commercial market nearby, gym & fitness club, underground electricity, community center, wide carpeted streets"
Islamabad,DHA Defence,"gym & fitness club, gated community, mosque nearby, children's play area, community center, underground electricity, commercial market nearby"
Rawalpindi,Bahria Town Rawalpindi,"mosque nearby, children's play area, park & green belt, commercial market nearby"
Karachi,Gadap Town,"commercial market nearby, children's play area, wide carpeted streets, mosque nearby, 24/7 security, park & green belt"
Lahore,Shershah Colony - Raiwind Road,"gated community, wide carpeted streets, commercial market nearby, 24/7 security, children's play area"
Islamabad,F-7,"commercial market nearby, wide carpeted streets, gym & fitness club, gated community, swimming pool (society level), community center"
Faisalabad,Saeed Colony,"park & green belt, swimming pool (society level), wide carpeted streets, mosque nearby"
Islamabad,G-11,"park & green belt, community center, children's play area, commercial market nearby, gym & fitness club"
Islamabad,F-10,"park & green belt, gated community, children's play area, gym & fitness club"
Lahore,Divine Gardens,"community center, park & green belt, gym & fitness club, mosque nearby"
Karachi,Scheme 33,"24/7 security, mosque nearby, commercial market nearby, gym & fitness club, backup generator in common areas"
Lahore,Askari,"underground electricity, park & green belt, children's play area, swimming pool (society level)"
Karachi,Bath Island,"swimming pool (society level), mosque nearby, children's play area, commercial market nearby, 24/7 security"
Lahore,Main Canal Bank Road,"backup generator in common areas, swimming pool (society level), children's play area, commercial market nearby, gym & fitness club, community center"
Karachi,BMCHS,"gated community, gym & fitness club, wide carpeted streets, swimming pool (society level)"
Islamabad,H-13,"community center, gated community, children's play area, gym & fitness club, wide carpeted streets"
Karachi,Gulistan-e-Jauhar,"underground electricity, mosque nearby, gym & fitness club, park & green belt, gated community"
Karachi,North Karachi,"park & green belt, wide carpeted streets, backup generator in common areas, gated community, commercial market nearby, 24/7 security, mosque nearby"
Islamabad,G-9,"underground electricity, children's play area, 24/7 security, mosque nearby"
Faisalabad,Others,"underground electricity, 24/7 security, mosque nearby, community center"
Islamabad,Bani Gala,"gated community, gym & fitness club, 24/7 security, wide carpeted streets, community center, mosque nearby"
Lahore,Lahore Canal Bank Cooperative Housing Society,"gym & fitness club, swimming pool (society level), mosque nearby, underground electricity, wide carpeted streets, community center"
Karachi,Bahria Town Karachi,"backup generator in common areas, children's play area, community center, gym & fitness club"
Islamabad,Bahria Town,"gated community, backup generator in common areas, underground electricity, community center"
Rawalpindi,Askari 4,"underground electricity, gym & fitness club, 24/7 security, children's play area, wide carpeted streets"
Lahore,Al Rehman Garden,"swimming pool (society level), backup generator in common areas, park & green belt, commercial market nearby, 24/7 security, gym & fitness club"
Faisalabad,Eden Orchard,"backup generator in common areas, commercial market nearby, community center, wide carpeted streets, gym & fitness club"
Lahore,Lalazar,"backup generator in common areas, commercial market nearby, park & green belt, gated community"
Islamabad,I-10,"underground electricity, 24/7 security, gym & fitness club, gated community, swimming pool (society level), wide carpeted streets, children's play area"
Karachi,DHA Defence,"gym & fitness club, community center, gated community, children's play area, underground electricity, backup generator in common areas, 24/7 security"
Lahore,Bahria Town,"underground electricity, swimming pool (society level), children's play area, gym & fitness club, backup generator in common areas, park & green belt, 24/7 security"
Islamabad,I-8,"mosque nearby, swimming pool (society level), underground electricity, wide carpeted streets"
Lahore,Habibullah Road,"mosque nearby, 24/7 security, gym & fitness club, commercial market nearby"
Lahore,Sabzazar Scheme,"park & green belt, 24/7 security, underground electricity, commercial market nearby"
Islamabad,F-11,"gated community, 24/7 security, underground electricity, mosque nearby, park & green belt, swimming pool (society level)"
Islamabad,Soan Garden,"children's play area, community center, gym & fitness club, mosque nearby"
Karachi,Korangi,"underground electricity, gym & fitness club, swimming pool (society level), community center, gated community"
Lahore,Izmir Town,"swimming pool (society level), park & green belt, backup generator in common areas, gated community, mosque nearby"
Karachi,Al-Manzar Society,"children's play area, swimming pool (society level), park & green belt, community center, underground electricity, mosque nearby, 24/7 security"
Lahore,Jubilee Town,"backup generator in common areas, gym & fitness club, community center, underground electricity, 24/7 security, gated community, children's play area"
Islamabad,Ghauri Town,"gated community, swimming pool (society level), 24/7 security, commercial market nearby, mosque nearby, children's play area, underground electricity"
Lahore,Pak Arab Housing Society,"underground electricity, park & green belt, commercial market nearby, 24/7 security, swimming pool (society level), children's play area, mosque nearby"
Islamabad,Pakistan Town,"park & green belt, gym & fitness club, community center, gated community"
Faisalabad,Satiana Road,"24/7 security, underground electricity, swimming pool (society level), gated community, park & green belt"
Lahore,Harbanspura,"gym & fitness club, community center, 24/7 security, mosque nearby, backup generator in common areas"
Faisalabad,Officers Colony,"gym & fitness club, wide carpeted streets, gated community, commercial market nearby, mosque nearby, children's play area, swimming pool (society level)"
Lahore,Anarkali,"gym & fitness club, mosque nearby, gated community, 24/7 security, commercial market nearby, backup generator in common areas"
Islamabad,Bhara kahu,"24/7 security, gym & fitness club, park & green belt, wide carpeted streets"
Rawalpindi,Chakri,"gated community, 24/7 security, underground electricity, park & green belt, children's play area, commercial market nearby, mosque nearby"
Islamabad,F-8,"gated community, gym & fitness club, backup generator in common areas, community center, underground electricity"
Islamabad,G-13,"swimming pool (society level), park & green belt, community center, mosque nearby"
Lahore,IBL Housing Scheme,"gated community, children's play area, underground electricity, backup generator in common areas, park & green belt, 24/7 security, gym & fitness club"
Islamabad,D-17,"commercial market nearby, underground electricity, wide carpeted streets, backup generator in common areas, swimming pool (society level), gated community"
Lahore,Labor Colony,"backup generator in common areas, gated community, gym & fitness club, 24/7 security, children's play area"
Islamabad,National Police Foundation,"gated community, 24/7 security, park & green belt, commercial market nearby, children's play area"
Rawalpindi,Adiala Road,"wide carpeted streets, children's play area, mosque nearby, 24/7 security"
Islamabad,Naval Anchorage,"commercial market nearby, underground electricity, gated community, park & green belt, 24/7 security"
Lahore,Gulberg,"underground electricity, backup generator in common areas, children's play area, community center, 24/7 security, mosque nearby, wide carpeted streets"
Lahore,Lalazaar Garden,"mosque nearby, community center, gated community, commercial market nearby, backup generator in common areas, underground electricity, children's play area"
Karachi,Jamshed Road,"underground electricity, mosque nearby, swimming pool (society level), backup generator in common areas, gated community, 24/7 security"
Islamabad,E-7,"backup generator in common areas, park & green belt, commercial market nearby, community center, children's play area"
Lahore,T & T Aabpara Housing Society,"24/7 security, swimming pool (society level), children's play area, wide carpeted streets, gated community"
Karachi,Abul Hassan Isphani Road,"mosque nearby, 24/7 security, backup generator in common areas, gym & fitness club, swimming pool (society level), gated community, park & green belt"
Rawalpindi,Islamabad Highway,"gated community, wide carpeted streets, swimming pool (society level), children's play area, 24/7 security"
Islamabad,F-6,"backup generator in common areas, park & green belt, gated community, wide carpeted streets, underground electricity"
Islamabad,D-12,"commercial market nearby, swimming pool (society level), park & green belt, wide carpeted streets, backup generator in common areas, 24/7 security"
Lahore,Eden,"gym & fitness club, swimming pool (society level), backup generator in common areas, gated community, underground electricity, children's play area"
Lahore,Architects Engineers Housing Society,"underground electricity, backup generator in common areas, commercial market nearby, wide carpeted streets, 24/7 security, swimming pool (society level)"
Islamabad,Shah Allah Ditta,"24/7 security, children's play area, backup generator in common areas, wide carpeted streets"
Karachi,Defence View Society,"park & green belt, mosque nearby, gym & fitness club, gated community"
Faisalabad,Nishatabad,"park & green belt, mosque nearby, 24/7 security, commercial market nearby, swimming pool (society level), underground electricity, gym & fitness club"
Rawalpindi,Shalley Valley,"park & green belt, swimming pool (society level), commercial market nearby, backup generator in common areas, community center, gym & fitness club, underground electricity"
Lahore,Canal Garden,"children's play area, gym & fitness club, gated community, backup generator in common areas, mosque nearby, commercial market nearby, 24/7 security"
Islamabad,E-11,"gated community, swimming pool (society level), 24/7 security, mosque nearby, underground electricity"
Karachi,Federal B Area,"24/7 security, community center, park & green belt, underground electricity"
Karachi,Garden West,"commercial market nearby, mosque nearby, wide carpeted streets, backup generator in common areas"
Karachi,Cantt,"children's play area, community center, gated community, park & green belt"
Lahore,Allama Iqbal Town,"mosque nearby, gated community, park & green belt, underground electricity"
Lahore,Johar Town,"community center, 24/7 security, children's play area, swimming pool (society level)"
Lahore,Samanabad,"community center, 24/7 security, swimming pool (society level), park & green belt, underground electricity"
Lahore,Ichhra,"swimming pool (society level), underground electricity, commercial market nearby, mosque nearby, backup generator in common areas, community center"
Faisalabad,Al Rehmat Villas,"gated community, community center, backup generator in common areas, children's play area, commercial market nearby, wide carpeted streets"
Rawalpindi,Dhok Mangtal,"swimming pool (society level), commercial market nearby, backup generator in common areas, 24/7 security, wide carpeted streets"
Karachi,Nazimabad,"wide carpeted streets, gym & fitness club, park & green belt, swimming pool (society level), commercial market nearby"
Islamabad,CBR Town,"backup generator in common areas, gated community, park & green belt, community center, mosque nearby"
Lahore,Raiwind Road,"gym & fitness club, 24/7 security, backup generator in common areas, community center, swimming pool (society level), wide carpeted streets, gated community"
Islamabad,Korang Town,"backup generator in common areas, mosque nearby, gated community, gym & fitness club, community center"
Lahore,Cavalry Ground,"backup generator in common areas, wide carpeted streets, 24/7 security, community center, gym & fitness club"
Karachi,DHA City Karachi,"commercial market nearby, gym & fitness club, swimming pool (society level), park & green belt"
Karachi,Navy Housing Scheme Karsaz,"underground electricity, children's play area, community center, commercial market nearby"
Islamabad,PWD Housing Scheme,"gym & fitness club, park & green belt, mosque nearby, commercial market nearby, gated community, community center, wide carpeted streets"
Rawalpindi,Lalkurti,"swimming pool (society level), backup generator in common areas, mosque nearby, gym & fitness club, wide carpeted streets, community center"
Rawalpindi,Airport Housing Society,"backup generator in common areas, underground electricity, wide carpeted streets, gym & fitness club, swimming pool (society level)"
Lahore,Park View Villas,"backup generator in common areas, 24/7 security, park & green belt, gated community"
Lahore,Gulshan-e-Lahore,"park & green belt, gym & fitness club, children's play area, swimming pool (society level), gated community, wide carpeted streets"
Lahore,State Life Housing Society,"mosque nearby, gym & fitness club, park & green belt, backup generator in common areas, children's play area, underground electricity, community center"
Karachi,Liaquatabad,"backup generator in common areas, children's play area, 24/7 security, commercial market nearby, swimming pool (society level), wide carpeted streets"
Lahore,Kot Lakhpat,"wide carpeted streets, gym & fitness club, swimming pool (society level), commercial market nearby, park & green belt, mosque nearby"
Karachi,Sea View Apartments,"backup generator in common areas, gym & fitness club, gated community, wide carpeted streets, park & green belt"
Rawalpindi,Kurri Road,"underground electricity, gated community, 24/7 security, commercial market nearby, park & green belt, community center, gym & fitness club"
Lahore,EME Society,"backup generator in common areas, mosque nearby, 24/7 security, community center"
Lahore,Canal Fort II,"community center, 24/7 security, wide carpeted streets, backup generator in common areas, children's play area"
Faisalabad,Millat Town,"swimming pool (society level), gated community, backup generator in common areas, gym & fitness club, park & green belt, commercial market nearby, wide carpeted streets"
Faisalabad,Samanabad Road,"24/7 security, underground electricity, commercial market nearby, park & green belt, gym & fitness club, wide carpeted streets, community center"
Lahore,Revenue Society,"24/7 security, children's play area, backup generator in common areas, commercial market nearby, swimming pool (society level), wide carpeted streets"
Lahore,Al-Jannat Housing Society - Kahna,"mosque nearby, gated community, wide carpeted streets, children's play area, community center"
Lahore,Nasheman-e-Iqbal,"commercial market nearby, underground electricity, children's play area, community center, park & green belt"
Karachi,Gulshan-e-Iqbal Town,"underground electricity, mosque nearby, commercial market nearby, backup generator in common areas"
Karachi,Gulberg Town,"backup generator in common areas, community center, gym & fitness club, park & green belt"
Islamabad,G-15,"swimming pool (society level), commercial market nearby, park & green belt, backup generator in common areas, children's play area, gated community, 24/7 security"
Lahore,Khayaban-e-Amin,"gated community, wide carpeted streets, gym & fitness club, children's play area, mosque nearby, commercial market nearby"
Faisalabad,Samundari Road,"underground electricity, 24/7 security, wide carpeted streets, park & green belt, mosque nearby"
Faisalabad,Gulshan e Madina,"underground electricity, wide carpeted streets, commercial market nearby, park & green belt"
Faisalabad,Canal Road,"swimming pool (society level), 24/7 security, backup generator in common areas, underground electricity"
Lahore,Military Accounts Housing Society,"gated community, wide carpeted streets, gym & fitness club, community center, mosque nearby, park & green belt, children's play area"
Islamabad,I-12,"children's play area, mosque nearby, gym & fitness club, gated community, community center, commercial market nearby"
Lahore,Faisal Town,"park & green belt, 24/7 security, mosque nearby, gym & fitness club, commercial market nearby, children's play area"
Karachi,Falcon Complex Faisal,"underground electricity, gym & fitness club, gated community, wide carpeted streets, backup generator in common areas"
Lahore,Bahria Orchard,"wide carpeted streets, community center, underground electricity, park & green belt, swimming pool (society level)"
Rawalpindi,Rail View Housing Society,"gym & fitness club, swimming pool (society level), wide carpeted streets, backup generator in common areas"
Rawalpindi,Tulsa Road,"mosque nearby, children's play area, swimming pool (society level), park & green belt, backup generator in common areas"
Lahore,Defence Road,"24/7 security, gated community, swimming pool (society level), community center, children's play area"
Islamabad,Gulberg,"park & green belt, mosque nearby, commercial market nearby, wide carpeted streets, 24/7 security, gated community"
Lahore,Islampura,"underground electricity, gated community, gym & fitness club, commercial market nearby"
Lahore,Lake City,"children's play area, park & green belt, underground electricity, 24/7 security"
Lahore,Punjab Govt Employees Society,"gated community, children's play area, backup generator in common areas, community center, mosque nearby, underground electricity"
Lahore,Garhi Shahu,"wide carpeted streets, children's play area, community center, park & green belt"
Lahore,Paragon City,"backup generator in common areas, children's play area, 24/7 security, wide carpeted streets, gated community, underground electricity, gym & fitness club"
Karachi,Fazaia Housing Scheme,"24/7 security, children's play area, commercial market nearby, underground electricity"
Islamabad,Faisal Town - F-18,"gated community, 24/7 security, commercial market nearby, swimming pool (society level), underground electricity"
Rawalpindi,Gulraiz Housing Scheme,"commercial market nearby, underground electricity, backup generator in common areas, park & green belt, gated community, wide carpeted streets, children's play area"
Lahore,Badami Bagh,"wide carpeted streets, park & green belt, backup generator in common areas, swimming pool (society level), community center"
Karachi,Korangi Road,"mosque nearby, swimming pool (society level), gated community, wide carpeted streets"
Faisalabad,Khayaban Colony,"backup generator in common areas, wide carpeted streets, mosque nearby, park & green belt, underground electricity, community center"
Faisalabad,Hamza Villas,"gym & fitness club, community center, commercial market nearby, mosque nearby"
Islamabad,B-17,"children's play area, gym & fitness club, community center, backup generator in common areas"
Lahore,Bismillah Housing Scheme,"community center, 24/7 security, backup generator in common areas, commercial market nearby, underground electricity"
Karachi,Shah Faisal Town,"backup generator in common areas, gated community, swimming pool (society level), park & green belt"
Faisalabad,Wapda City,"mosque nearby, wide carpeted streets, backup generator in common areas, commercial market nearby"
Lahore,Hakim Town,"swimming pool (society level), park & green belt, children's play area, backup generator in common areas, community center, gated community"
Rawalpindi,Allahabad Road,"underground electricity, community center, gated community, 24/7 security"
