city,location,developer,down_payment_pct,installment_years,plan_summary
Lahore,Wapda Town,Wapda Town Developers Pvt. Ltd.,10,5,"10% down payment, remaining balance in 5-year quarterly installments through Wapda Town Developers Pvt. Ltd.."
Lahore,DHA Defence,DHA City Developer Authority,15,4,"15% down payment, remaining balance in 4-year quarterly installments through DHA City Developer Authority."
Karachi,Jamshed Town,Jamshed Town Developers Pvt. Ltd.,15,2,"15% down payment, remaining balance in 2-year quarterly installments through Jamshed Town Developers Pvt. Ltd.."
Lahore,Garden Town,Garden Town Developers Pvt. Ltd.,25,5,"25% down payment, remaining balance in 5-year quarterly installments through Garden Town Developers Pvt. Ltd.."
Karachi,Malir,Malir Developers Pvt. Ltd.,10,2,"10% down payment, remaining balance in 2-year quarterly installments through Malir Developers Pvt. Ltd.."
Karachi,North Nazimabad,North Nazimabad Developers Pvt. Ltd.,15,5,"15% down payment, remaining balance in 5-year quarterly installments through North Nazimabad Developers Pvt. Ltd.."
Islamabad,DHA Defence,DHA City Developer Authority,15,3,"15% down payment, remaining balance in 3-year quarterly installments through DHA City Developer Authority."
Rawalpindi,Bahria Town Rawalpindi,Bahria Town Rawalpindi Developers Pvt. Ltd.,15,5,"15% down payment, remaining balance in 5-year quarterly installments through Bahria Town Rawalpindi Developers Pvt. Ltd.."
Karachi,Gadap Town,Gadap Town Developers Pvt. Ltd.,15,5,"15% down payment, remaining balance in 5-year quarterly installments through Gadap Town Developers Pvt. Ltd.."
Lahore,Shershah Colony - Raiwind Road,Shershah Colony - Raiwind Road Developers Pvt. Ltd.,15,4,"15% down payment, remaining balance in 4-year quarterly installments through Shershah Colony - Raiwind Road Developers Pvt. Ltd.."
Islamabad,F-7,F-7 Developers Pvt. Ltd.,25,3,"25% down payment, remaining balance in 3-year quarterly installments through F-7 Developers Pvt. Ltd.."
Faisalabad,Saeed Colony,Saeed Colony Developers Pvt. Ltd.,20,3,"20% down payment, remaining balance in 3-year quarterly installments through Saeed Colony Developers Pvt. Ltd.."
Islamabad,G-11,G-11 Developers Pvt. Ltd.,20,4,"20% down payment, remaining balance in 4-year quarterly installments through G-11 Developers Pvt. Ltd.."
Islamabad,F-10,F-10 Developers Pvt. Ltd.,20,2,"20% down payment, remaining balance in 2-year quarterly installments through F-10 Developers Pvt. Ltd.."
Lahore,Divine Gardens,Divine Gardens Developers Pvt. Ltd.,15,3,"15% down payment, remaining balance in 3-year quarterly installments through Divine Gardens Developers Pvt. Ltd.."
Karachi,Scheme 33,Scheme 33 Developers Pvt. Ltd.,15,3,"15% down payment, remaining balance in 3-year quarterly installments through Scheme 33 Developers Pvt. Ltd.."
Lahore,Askari,Askari Developers Pvt. Ltd.,25,5,"25% down payment, remaining balance in 5-year quarterly installments through Askari Developers Pvt. Ltd.."
Karachi,Bath Island,Bath Island Developers Pvt. Ltd.,10,2,"10% down payment, remaining balance in 2-year quarterly installments through Bath Island Developers Pvt. Ltd.."
Lahore,Main Canal Bank Road,Main Canal Bank Road Developers Pvt. Ltd.,10,5,"10% down payment, remaining balance in 5-year quarterly installments through Main Canal Bank Road Developers Pvt. Ltd.."
Karachi,BMCHS,BMCHS Developers Pvt. Ltd.,15,5,"15% down payment, remaining balance in 5-year quarterly installments through BMCHS Developers Pvt. Ltd.."
Islamabad,H-13,H-13 Developers Pvt. Ltd.,15,4,"15% down payment, remaining balance in 4-year quarterly installments through H-13 Developers Pvt. Ltd.."
Karachi,Gulistan-e-Jauhar,Gulistan-e-Jauhar Developers Pvt. Ltd.,25,4,"25% down payment, remaining balance in 4-year quarterly installments through Gulistan-e-Jauhar Developers Pvt. Ltd.."
Karachi,North Karachi,North Karachi Developers Pvt. Ltd.,15,2,"15% down payment, remaining balance in 2-year quarterly installments through North Karachi Developers Pvt. Ltd.."
Islamabad,G-9,G-9 Developers Pvt. Ltd.,25,4,"25% down payment, remaining balance in 4-year quarterly installments through G-9 Developers Pvt. Ltd.."
Faisalabad,Others,Others Developers Pvt. Ltd.,15,2,"15% down payment, remaining balance in 2-year quarterly installments through Others Developers Pvt. Ltd.."
Islamabad,Bani Gala,Bani Gala Developers Pvt. Ltd.,20,3,"20% down payment, remaining balance in 3-year quarterly installments through Bani Gala Developers Pvt. Ltd.."
Lahore,Lahore Canal Bank Cooperative Housing Society,Lahore Canal Bank Cooperative Housing Society Developers Pvt. Ltd.,15,5,"15% down payment, remaining balance in 5-year quarterly installments through Lahore Canal Bank Cooperative Housing Society Developers Pvt. Ltd.."
Karachi,Bahria Town Karachi,Bahria Town Karachi Developers Pvt. Ltd.,10,3,"10% down payment, remaining balance in 3-year quarterly installments through Bahria Town Karachi Developers Pvt. Ltd.."
Islamabad,Bahria Town,Bahria Town Pvt. Ltd.,25,3,"25% down payment, remaining balance in 3-year quarterly installments through Bahria Town Pvt. Ltd.."
