question,answer
What is the minimum down payment for an installment plan?,Down payment ranges 10-25% of the total price depending on the developer and society; RealEstate Hub will confirm the exact figure for the specific project.
Do you charge a commission to buyers?,RealEstate Hub charges no fee to buyers or renters on completed deals; our commission is paid by the seller/landlord per standard industry practice.
Can I visit a property before booking?,"Yes, every listing can be visited in person; our agent will accompany you and can be scheduled via a phone call or the booking flow."
Is possession immediate after full payment?,"For ready properties, possession is handed over within 7-15 working days of full payment and paperwork completion. Under-construction units follow the developer's handover schedule."
What documents are required to book a property?,"A valid CNIC, proof of payment for the token/down payment, and a signed booking form are required to secure a property."
Do you help with rental agreements?,"Yes, RealEstate Hub drafts and facilitates signing of the tenancy agreement for all rental bookings made through us."
Are the prices negotiable?,Most listings have some flexibility; our agent will share the realistic negotiable range once you express serious interest in a specific property.
What happens if I want to cancel a booked visit?,You can cancel or reschedule a visit any time before the appointment by calling us back; there is no penalty for cancelling a visit.
Do you handle commercial properties?,"Yes, we list commercial plots, shops, and offices in addition to residential houses, flats, and portions."
How is the appreciation potential of a society assessed?,"We look at historical price trends, infrastructure development, and developer track record for that society; our agent can share specific comparables on request."
Can NRI/overseas Pakistanis book a property remotely?,"Yes, bookings can be completed remotely with power-of-attorney or verified digital documentation; a dedicated agent assists overseas clients."
What is the difference between a Marla and a Kanal?,1 Kanal equals 20 Marla; both are traditional South Asian land area units used throughout property listings in Pakistan.
"Do you offer investment consultation, not just listings?","Yes, for investment inquiries we discuss budget, ROI goals, and time horizon before recommending specific plots or units."
Is maintenance handled by the society or the buyer?,"Ongoing society maintenance (security, common areas) is typically covered by a monthly society fee; unit-level maintenance is the owner's responsibility."
How quickly can an appointment be booked?,"Most visit appointments can be scheduled for the same day or the next day, subject to agent and property availability."
